customer_id_mskd,jurisdiction_code,client_type_aml,industry_code_aml,occupation_code_aml,country_of_domicile_aml,occupation_status_code_aml,customer_status_aml,export_ts,primary_ownership_flag,relationship_type,PCD_CDA,PCD_CMS,PCD_CRC,PCD_LLC,PCD_MOR,PCD_MUF,PCD_SAV,PCD_SDB,PCD_TED,SRV_FLG,SRV_FSL,SRV_ILC,SRV_LOC,SRV_NLG,SRV_NSL,SRV_TRF,PRD_INFO_AVAIL,rating
df39588796bc20fb01d282213200c944ad38caa06a91a77c821d6396fc856ea5,ca03,individual,none,108,ca,none,active,2020-05-13,n,joint,1.0,,,,,,,,,,,,,,,,False,3.0
d56f5632aa40d2661dcc5419def6ede2ed4cca24bd76cdb4ece0d6981e03ccb4,ca03,individual,none,342,ca,none,active,2020-05-13,y,borrower,,,2.0,,1.0,,,,,,,,,,,,False,3.0
a86efc98b6e70bbb37c12024304f3d7c9eac9e4ecd9559fa02a6e29da5954344,ca03,individual,none,e902,ca,e902,active,2020-05-13,y,borrower,,,2.0,1.0,2.0,,,,,,,,,,,,False,3.0
24f154d9bb05a18ba723830b6c41d6eb71a67f14ca73251876eb96de21d41260,ca03,individual,none,94,ca,none,active,2020-05-13,y,primary joint,,,,,,,1.0,,,,,,,,,,False,3.0
bdb58c996ed0b5c9f81461caa8efe914f712e22ffaa6ac38157e8940a821bcb3,ca03,individual,none,256,ca,none,active,2020-05-13,none,none,,,,,,,,,,,,,,,,,True,3.0
cbf68f01b65916d3bfc24b5c6ce66f783e6990ecd5e156c671d20393c941716c,ca03,individual,none,none,ca,none,active,2020-05-13,n,co-borrower,,,,1.0,,,,,,,,,,,,,False,3.0
39599f49e8bbd49e608d5978574ed2b3c17d22310b32a289ea727129e8ad01d4,ca03,individual,none,e902,ca,e902,active,2020-05-13,n,joint,1.0,,,,,,,1.0,,,,,,,,,False,3.0
17ccddfa75701c63b7ceec18da03ea25660a67f15ec6d9c6b4a8e10397c30aed,ca03,individual,none,256,ca,none,active,2020-05-13,n,co-signor,,,,1.0,,,,,,,,,,,,,False,3.0
7e67885ef13aa7007832c00378f4bc23890804b1ce252d8f131a25b51e4098c7,ca03,individual,none,e904,ca,e904,active,2020-05-13,y,sole,,,3.0,1.0,,,,,,,,,,,,,False,3.0
b106c91feddf61c6515812e2d1dc6c36851a95472261022669494d680037f9a0,ca03,individual,none,256,ca,none,active,2020-05-13,y,sole,,,,1.0,,,,,,,,,,,,,False,3.0
